,species,countryCode,decimalLatitude,decimalLongitude,year
99,Lithobates catesbeianus,KR,35.9279,127.054617,2011.0
100,Lithobates catesbeianus,KR,35.782244,126.948389,2011.0
101,Lithobates catesbeianus,KR,34.611269,126.761375,2011.0
102,Lithobates catesbeianus,KR,34.631992,126.938003,2011.0
103,Lithobates catesbeianus,KR,36.086139,129.000739,2011.0
104,Lithobates catesbeianus,KR,36.095389,129.168839,2011.0
105,Lithobates catesbeianus,KR,36.400053,128.610181,2010.0
106,Lithobates catesbeianus,KR,36.386222,128.478472,2010.0
107,Lithobates catesbeianus,KR,36.17775,127.2122,2010.0
108,Lithobates catesbeianus,KR,36.129286,127.019439,2010.0
109,Lithobates catesbeianus,KR,36.060478,126.987731,2010.0
110,Lithobates catesbeianus,KR,36.05165,126.854322,2010.0
111,Lithobates catesbeianus,KR,36.117694,126.870531,2010.0
112,Lithobates catesbeianus,KR,36.085542,126.819453,2010.0
113,Lithobates catesbeianus,KR,36.157522,126.805731,2010.0
114,Lithobates catesbeianus,KR,36.205914,126.792731,2010.0
115,Lithobates catesbeianus,KR,36.200317,126.754325,2010.0
116,Lithobates catesbeianus,KR,36.096103,126.744522,2010.0
117,Lithobates catesbeianus,KR,35.059445,128.325041,2010.0
118,Lithobates catesbeianus,KR,35.226922,128.101151,2010.0
119,Lithobates catesbeianus,KR,35.546797,126.626911,2013.0
120,Lithobates catesbeianus,KR,36.915758,127.497722,2013.0
121,Lithobates catesbeianus,KR,35.462292,126.482172,2013.0
122,Lithobates catesbeianus,KR,36.803553,127.578586,2013.0
123,Lithobates catesbeianus,KR,37.148219,126.701097,2009.0
124,Lithobates catesbeianus,KR,35.001,127.967042,2009.0
125,Lithobates catesbeianus,KR,35.128228,127.95887,2009.0
126,Lithobates catesbeianus,KR,35.028272,127.929495,2009.0
127,Lithobates catesbeianus,KR,35.216758,127.920425,2009.0
128,Lithobates catesbeianus,KR,35.016764,127.804553,2009.0
129,Lithobates catesbeianus,KR,35.036167,127.935042,2009.0
130,Lithobates catesbeianus,KR,36.303889,127.108056,2009.0
131,Lithobates catesbeianus,KR,36.305,127.035278,2009.0
132,Lithobates catesbeianus,KR,36.496944,127.066111,2009.0
133,Lithobates catesbeianus,KR,34.859417,126.526889,2009.0
134,Lithobates catesbeianus,KR,35.130861,126.286583,2009.0
135,Lithobates catesbeianus,KR,35.012861,126.406306,2009.0
136,Lithobates catesbeianus,KR,35.246661,127.981633,2009.0
137,Lithobates catesbeianus,KR,35.0952,127.927772,2009.0
138,Lithobates catesbeianus,KR,35.027722,127.926183,2009.0
139,Lithobates catesbeianus,KR,35.236,127.883347,2009.0
140,Lithobates catesbeianus,KR,36.473333,127.123889,2009.0
141,Lithobates catesbeianus,KR,36.404444,127.118611,2009.0
142,Lithobates catesbeianus,KR,34.833389,126.579389,2009.0
143,Lithobates catesbeianus,KR,35.237222,126.318611,2009.0
144,Lithobates catesbeianus,KR,35.220417,126.321889,2009.0
145,Lithobates catesbeianus,KR,35.136194,126.26425,2009.0
146,Lithobates catesbeianus,KR,35.01775,126.4795,2009.0
147,Lithobates catesbeianus,KR,35.195528,126.399556,2009.0
148,Lithobates catesbeianus,KR,35.071694,126.562111,2009.0
149,Lithobates catesbeianus,KR,35.1225,126.638389,2009.0
150,Lithobates catesbeianus,KR,34.877536,126.40412,2009.0
151,Lithobates catesbeianus,KR,34.958497,126.288295,2009.0
152,Lithobates catesbeianus,KR,34.859119,126.301795,2009.0
153,Lithobates catesbeianus,KR,36.428611,127.752753,2009.0
154,Lithobates catesbeianus,KR,35.056064,127.05592,2009.0
155,Lithobates catesbeianus,KR,34.453214,126.689072,2012.0
156,Lithobates catesbeianus,KR,34.558397,126.034692,2012.0
157,Lithobates catesbeianus,KR,34.741194,126.170922,2012.0
158,Lithobates catesbeianus,KR,36.116722,128.190361,2011.0
159,Lithobates catesbeianus,KR,36.237361,128.370667,2011.0
160,Lithobates catesbeianus,KR,35.857778,126.774444,2011.0
161,Lithobates catesbeianus,KR,35.79,126.6275,2011.0
162,Lithobates catesbeianus,KR,35.983611,126.776944,2011.0
163,Lithobates catesbeianus,KR,35.936389,126.630278,2011.0
164,Lithobates catesbeianus,KR,34.473278,126.878178,2011.0
165,Lithobates catesbeianus,KR,35.821636,127.022292,2011.0
166,Lithobates catesbeianus,KR,36.0875,128.938889,2011.0
167,Lithobates catesbeianus,KR,33.281483,126.203636,2011.0
168,Lithobates catesbeianus,KR,36.147944,128.039472,2011.0
169,Lithobates catesbeianus,KR,34.532028,127.172728,2011.0
170,Lithobates catesbeianus,KR,35.991103,127.205936,2011.0
171,Lithobates catesbeianus,KR,34.514586,126.8864,2011.0
172,Lithobates catesbeianus,KR,34.58775,126.977106,2011.0
173,Lithobates catesbeianus,KR,36.109778,127.505325,2010.0
174,Lithobates catesbeianus,KR,36.036675,127.109567,2010.0
175,Lithobates catesbeianus,KR,36.213715,127.006751,2010.0
176,Lithobates catesbeianus,KR,36.085694,126.825542,2010.0
177,Lithobates catesbeianus,KR,36.102069,126.768803,2010.0
178,Lithobates catesbeianus,KR,36.151517,126.873503,2010.0
179,Lithobates catesbeianus,KR,36.144747,126.588378,2010.0
180,Lithobates catesbeianus,KR,35.101867,128.068739,2010.0
